storage_number,cell_barcode
Test#A6-0000070,Test_2025_01_16_7594
Test#B6-0000070,Test_2025_01_16_7594
Test#A7-0000071,Test_2025_01_16_7708
Test#B7-0000071,Test_2025_01_16_7708
Test#A8-0000072,Test_2025_01_16_7759
Test#B8-0000072,Test_2025_01_16_7759
Test#A1-0000073,Test_2025_01_16_7762
Test#B1-0000073,Test_2025_01_16_7762
Test#A2-0000074,Test_2025_01_16_7630
Test#B2-0000074,Test_2025_01_16_7630
Test#A3-0000075,Test_2025_01_16_7564
Test#B3-0000075,Test_2025_01_16_7564
Test#A4-0000076,Test_2025_01_16_7560
Test#B4-0000076,Test_2025_01_16_7560
Test#A5-0000077,Test_2025_01_16_7668
Test#B5-0000077,Test_2025_01_16_7668
Test#A6-0000078,Test_2025_01_16_7672
Test#B6-0000078,Test_2025_01_16_7672
Test#A7-0000079,Test_2025_01_16_7753
Test#B7-0000079,Test_2025_01_16_7753
Test#A8-0000080,Test_2025_01_16_7709
Test#B8-0000080,Test_2025_01_16_7709
Test#A1-0000081,Test_2025_01_16_7691
Test#B1-0000081,Test_2025_01_16_7691
Test#A2-0000082,Test_2025_01_16_7559
Test#B2-0000082,Test_2025_01_16_7559
Test#A3-0000083,Test_2025_01_16_7537
Test#B3-0000083,Test_2025_01_16_7537
Test#A4-0000084,Test_2025_01_16_7730
Test#B4-0000084,Test_2025_01_16_7730
Test#A5-0000085,Test_2025_01_16_7723
Test#B5-0000085,Test_2025_01_16_7723
Test#A6-0000086,Test_2025_01_16_7767
Test#B6-0000086,Test_2025_01_16_7767
Test#A7-0000087,Test_2025_01_16_7565
Test#B7-0000087,Test_2025_01_16_7565
Test#A8-0000088,Test_2025_01_16_7556
Test#B8-0000088,Test_2025_01_16_7556
Test#A1-0000089,Test_2025_01_16_7716
Test#B1-0000089,Test_2025_01_16_7716
Test#A2-0000090,Test_2025_01_16_7670
Test#B2-0000090,Test_2025_01_16_7670
Test#A3-0000091,Test_2025_01_16_7673
Test#B3-0000091,Test_2025_01_16_7673
Test#A4-0000092,Test_2025_01_16_7769
Test#B4-0000092,Test_2025_01_16_7769
Test#A5-0000093,Test_2025_01_16_7768
Test#B5-0000093,Test_2025_01_16_7768
Test#A6-0000094,Test_2025_01_16_7671
Test#B6-0000094,Test_2025_01_16_7671
Test#A7-0000095,Test_2025_01_16_7684
Test#B7-0000095,Test_2025_01_16_7684
Test#A8-0000096,Test_2025_01_16_7591
Test#B8-0000096,Test_2025_01_16_7591
Test#A1-0000097,Test_2025_01_16_7685
Test#B1-0000097,Test_2025_01_16_7685
Test#A2-0000098,Test_2025_01_16_7771
Test#B2-0000098,Test_2025_01_16_7771
Test#A3-0000099,Test_2025_01_16_7710
Test#B3-0000099,Test_2025_01_16_7710
Test#A4-0000100,Test_2025_01_16_7777
Test#B4-0000100,Test_2025_01_16_7777
Test#A5-0000101,Test_2025_01_16_7766
Test#B5-0000101,Test_2025_01_16_7766
Test#A6-0000102,Test_2025_01_16_7621
Test#B6-0000102,Test_2025_01_16_7621
Test#A7-0000103,Test_2025_01_16_7763
Test#B7-0000103,Test_2025_01_16_7763
Test#A8-0000104,Test_2025_01_16_7614
Test#B8-0000104,Test_2025_01_16_7614
Test#A1-0000105,Test_2025_01_16_7599
Test#B1-0000105,Test_2025_01_16_7599
Test#A2-0000106,Test_2025_01_16_7622
Test#B2-0000106,Test_2025_01_16_7622
Test#A3-0000107,Test_2025_01_16_7780
Test#B3-0000107,Test_2025_01_16_7780
Test#A4-0000108,Test_2025_01_16_7616
Test#B4-0000108,Test_2025_01_16_7616
Test#A5-0000109,Test_2025_01_16_7586
Test#B5-0000109,Test_2025_01_16_7586
Test#A6-0000110,Test_2025_01_16_7615
Test#B6-0000110,Test_2025_01_16_7615
Test#A7-0000111,Test_2025_01_16_7598
Test#B7-0000111,Test_2025_01_16_7598
Test#A8-0000112,Test_2025_01_16_7596
Test#B8-0000112,Test_2025_01_16_7596
Test#A1-0000113,Test_2025_01_16_7758
Test#B1-0000113,Test_2025_01_16_7758
Test#A2-0000114,Test_2025_01_16_7523
Test#B2-0000114,Test_2025_01_16_7523
Test#A3-0000115,Test_2025_01_16_7754
Test#B3-0000115,Test_2025_01_16_7754
Test#A4-0000116,Test_2025_01_16_7519
Test#B4-0000116,Test_2025_01_16_7519
Test#A5-0000117,Test_2025_01_16_7553
Test#B5-0000117,Test_2025_01_16_7553
Test#A6-0000118,Test_2025_01_16_7561
Test#B6-0000118,Test_2025_01_16_7561
Test#A7-0000119,Test_2025_01_16_7637
Test#B7-0000119,Test_2025_01_16_7637
Test#A8-0000120,Test_2025_01_16_7756
Test#B8-0000120,Test_2025_01_16_7756
Test#A1-0000121,Test_2025_01_16_7566
Test#B1-0000121,Test_2025_01_16_7566
Test#A2-0000122,Test_2025_01_16_7619
Test#B2-0000122,Test_2025_01_16_7619
Test#A3-0000123,Test_2025_01_16_7725
Test#B3-0000123,Test_2025_01_16_7725
Test#A4-0000124,Test_2025_01_16_7629
Test#B4-0000124,Test_2025_01_16_7629
Test#A5-0000125,Test_2025_01_16_7631
Test#B5-0000125,Test_2025_01_16_7631
Test#A6-0000126,Test_2025_01_16_7568
Test#B6-0000126,Test_2025_01_16_7568
Test#A7-0000127,Test_2025_01_16_7540
Test#B7-0000127,Test_2025_01_16_7540
Test#A8-0000128,Test_2025_01_16_7521
Test#B8-0000128,Test_2025_01_16_7521
Test#A1-0000129,Test_2025_01_16_7552
Test#B1-0000129,Test_2025_01_16_7552
Test#A2-0000130,Test_2025_01_16_7611
Test#B2-0000130,Test_2025_01_16_7611
Test#A3-0000131,Test_2025_01_16_7592
Test#B3-0000131,Test_2025_01_16_7592
Test#A4-0000132,Test_2025_01_16_7587
Test#B4-0000132,Test_2025_01_16_7587
Test#A5-0000133,Test_2025_01_16_7627
Test#B5-0000133,Test_2025_01_16_7627
Test#A6-0000134,Test_2025_01_16_7687
Test#B6-0000134,Test_2025_01_16_7687
Test#A7-0000135,Test_2025_01_16_7562
Test#B7-0000135,Test_2025_01_16_7562
Test#A8-0000136,Test_2025_01_16_7555
Test#B8-0000136,Test_2025_01_16_7555
Test#A1-0000137,Test_2025_01_16_7695
Test#B1-0000137,Test_2025_01_16_7695
Test#A2-0000138,Test_2025_01_16_7617
Test#B2-0000138,Test_2025_01_16_7617
Test#A3-0000139,Test_2025_01_16_7597
Test#B3-0000139,Test_2025_01_16_7597
Test#A4-0000140,Test_2025_01_16_7620
Test#B4-0000140,Test_2025_01_16_7620
Test#A5-0000141,Test_2025_01_16_7624
Test#B5-0000141,Test_2025_01_16_7624
Test#A6-0000142,Test_2025_01_16_7667
Test#B6-0000142,Test_2025_01_16_7667
Test#A7-0000143,Test_2025_01_16_7623
Test#B7-0000143,Test_2025_01_16_7623
Test#A8-0000144,Test_2025_01_16_7585
Test#B8-0000144,Test_2025_01_16_7585
Test#A1-0000145,Test_2025_01_16_7609
Test#B1-0000145,Test_2025_01_16_7609
Test#A2-0000146,Test_2025_01_16_7605
Test#B2-0000146,Test_2025_01_16_7605
Test#A3-0000147,Test_2025_01_16_7563
Test#B3-0000147,Test_2025_01_16_7563
Test#A4-0000148,Test_2025_01_16_7595
Test#B4-0000148,Test_2025_01_16_7595
Test#A5-0000149,Test_2025_01_16_7583
Test#B5-0000149,Test_2025_01_16_7583
Test#A6-0000150,Test_2025_01_16_7608
Test#B6-0000150,Test_2025_01_16_7608
Test#A7-0000151,Test_2025_01_16_7662
Test#B7-0000151,Test_2025_01_16_7662
Test#A8-0000152,Test_2025_01_16_7692
Test#B8-0000152,Test_2025_01_16_7692
