storage_number,cell_barcode,barcode,cell,material,match_status
Test#B7-0000103,Test_2025_01_16_7763,7763,93,CU500,OK
Test#A6-0000054,Test_2025_01_16_7764,7764,94,CU500,OK
Test#B6-0000054,Test_2025_01_16_7764,7764,94,CU500,OK
Test#A6-0000086,Test_2025_01_16_7767,7767,95,CU500,OK
Test#B6-0000086,Test_2025_01_16_7767,7767,95,CU500,OK
Test#A5-0000101,Test_2025_01_16_7766,7766,96,CU500,OK
Test#B5-0000101,Test_2025_01_16_7766,7766,96,CU500,OK
Test#A3-0000035,Test_2025_01_16_7765,7765,97,CU500,OK
Test#B3-0000035,Test_2025_01_16_7765,7765,97,CU500,OK
Test#A2-0000034,Test_2025_01_16_7752,7752,98,CU500,OK
Test#B2-0000034,Test_2025_01_16_7752,7752,98,CU500,OK
Test#A7-0000079,Test_2025_01_16_7753,7753,99,CU500,OK
Test#B7-0000079,Test_2025_01_16_7753,7753,99,CU500,OK
Test#A3-0000115,Test_2025_01_16_7754,7754,100,CU500,OK
Test#B3-0000115,Test_2025_01_16_7754,7754,100,CU500,OK
Test#A4-0000012,Test_2025_01_16_7755,7755,101,CU500,OK
Test#B4-0000012,Test_2025_01_16_7755,7755,101,CU500,OK
Test#A8-0000120,Test_2025_01_16_7756,7756,102,CU500,OK
Test#B8-0000120,Test_2025_01_16_7756,7756,102,CU500,OK
Test#A1-0000113,Test_2025_01_16_7758,7758,104,CU500,OK
Test#B1-0000113,Test_2025_01_16_7758,7758,104,CU500,OK
Test#A8-0000072,Test_2025_01_16_7759,7759,105,CU500,OK
Test#B8-0000072,Test_2025_01_16_7759,7759,105,CU500,OK
Test#A6-0000030,Test_2025_01_16_7675,7675,106,SCRAP6,OK
Test#B6-0000030,Test_2025_01_16_7675,7675,106,SCRAP6,OK
Test#A4-0000028,Test_2025_01_16_7701,7701,107,SCRAP6,OK
Test#B4-0000028,Test_2025_01_16_7701,7701,107,SCRAP6,OK
Test#A3-0000067,Test_2025_01_16_7548,7548,109,AL_B_1000,OK
Test#B3-0000067,Test_2025_01_16_7548,7548,109,AL_B_1000,OK
Test#A5-0000005,Test_2025_01_16_7718,7718,110,AL_A_1000,OK
Test#B5-0000005,Test_2025_01_16_7718,7718,110,AL_A_1000,OK
Test#A5-0000029,Test_2025_01_16_7676,7676,114,SCRAP6,OK
Test#B5-0000029,Test_2025_01_16_7676,7676,114,SCRAP6,OK
Test#A7-0000151,Test_2025_01_16_7662,7662,115,SCRAP7,OK
Test#B7-0000151,Test_2025_01_16_7662,7662,115,SCRAP7,OK
Test#A3-0000059,Test_2025_01_16_7712,7712,119,AL_A_1000,OK
Test#B3-0000059,Test_2025_01_16_7712,7712,119,AL_A_1000,OK
Test#A6-0000006,Test_2025_01_16_7665,7665,122,SCRAP7,OK
Test#B6-0000006,Test_2025_01_16_7665,7665,122,SCRAP7,OK
Test#A1-0000041,Test_2025_01_16_7663,7663,124,SCRAP7,OK
Test#B1-0000041,Test_2025_01_16_7663,7663,124,SCRAP7,OK
Test#A2-0000010,Test_2025_01_16_7661,7661,125,SCRAP7,OK
Test#B2-0000010,Test_2025_01_16_7661,7661,125,SCRAP7,OK
Test#A6-0000126,Test_2025_01_16_7568,7568,128,AL_B_1200,OK
Test#B6-0000126,Test_2025_01_16_7568,7568,128,AL_B_1200,OK
Test#A7-0000047,Test_2025_01_16_7567,7567,129,AL_B_1200,OK
Test#B7-0000047,Test_2025_01_16_7567,7567,129,AL_B_1200,OK
Test#A1-0000121,Test_2025_01_16_7566,7566,130,AL_B_1200,OK
Test#B1-0000121,Test_2025_01_16_7566,7566,130,AL_B_1200,OK
Test#A7-0000087,Test_2025_01_16_7565,7565,131,AL_B_1200,OK
Test#B7-0000087,Test_2025_01_16_7565,7565,131,AL_B_1200,OK
Test#A3-0000075,Test_2025_01_16_7564,7564,132,AL_B_1200,OK
Test#B3-0000075,Test_2025_01_16_7564,7564,132,AL_B_1200,OK
Test#A3-0000147,Test_2025_01_16_7563,7563,133,AL_B_1200,OK
Test#B3-0000147,Test_2025_01_16_7563,7563,133,AL_B_1200,OK
Test#A7-0000135,Test_2025_01_16_7562,7562,134,AL_B_1200,OK
Test#B7-0000135,Test_2025_01_16_7562,7562,134,AL_B_1200,OK
Test#A6-0000118,Test_2025_01_16_7561,7561,135,AL_B_1200,OK
Test#B6-0000118,Test_2025_01_16_7561,7561,135,AL_B_1200,OK
Test#A4-0000076,Test_2025_01_16_7560,7560,136,AL_B_1200,OK
Test#B4-0000076,Test_2025_01_16_7560,7560,136,AL_B_1200,OK
Test#A2-0000082,Test_2025_01_16_7559,7559,137,AL_B_1200,OK
Test#B2-0000082,Test_2025_01_16_7559,7559,137,AL_B_1200,OK
Test#A6-0000038,Test_2025_01_16_7557,7557,138,AL_B_1200,OK
Test#B6-0000038,Test_2025_01_16_7557,7557,138,AL_B_1200,OK
Test#A8-0000088,Test_2025_01_16_7556,7556,140,AL_B_1200,OK
Test#B8-0000088,Test_2025_01_16_7556,7556,140,AL_B_1200,OK
Test#A1-0000129,Test_2025_01_16_7552,7552,141,AL_B_1000,OK
Test#B1-0000129,Test_2025_01_16_7552,7552,141,AL_B_1000,OK
Test#A5-0000117,Test_2025_01_16_7553,7553,143,AL_B_1000,OK
Test#B5-0000117,Test_2025_01_16_7553,7553,143,AL_B_1000,OK
Test#A3-0000027,Test_2025_01_16_7551,7551,145,AL_B_1000,OK
Test#B3-0000027,Test_2025_01_16_7551,7551,145,AL_B_1000,OK
Test#A8-0000016,Test_2025_01_16_7545,7545,148,AL_B_1000,OK
Test#B8-0000016,Test_2025_01_16_7545,7545,148,AL_B_1000,OK
Test#A1-0000009,Test_2025_01_16_7541,7541,150,SUS500,OK
Test#B1-0000009,Test_2025_01_16_7541,7541,150,SUS500,OK
Test#A7-0000127,Test_2025_01_16_7540,7540,152,SUS500,OK
Test#B7-0000127,Test_2025_01_16_7540,7540,152,SUS500,OK
Test#A3-0000083,Test_2025_01_16_7537,7537,155,SUS500,OK
Test#B3-0000083,Test_2025_01_16_7537,7537,155,SUS500,OK
