No,cell_barcode,barcode,cell,A열_저장번호,A열_이물정보,B열_저장번호,B열_이물정보,match_status
43,Test_2025_01_16_7705,7705,2,Test#A3-0000043,SCRAP/SCRAP/6X6/A1,Test#B3-0000043,SCRAP/SCRAP/6X6/A1,OK
44,Test_2025_01_16_7711,7711,48,Test#A4-0000044,AL/BALL/1000/A1C1,Test#B4-0000044,AL/BALL/1000/A1C1,OK
45,Test_2025_01_16_7674,7674,24,Test#A5-0000045,SCRAP/SCRAP/7X7/B,Test#B5-0000045,SCRAP/SCRAP/7X7/B,OK
46,Test_2025_01_16_7640,7640,176,Test#A6-0000046,AL/BALL/1200/A1C1,Test#B6-0000046,AL/BALL/1200/A1C1,OK
47,Test_2025_01_16_7567,7567,129,Test#A7-0000047,AL/BALL/1200/BC1,Test#B7-0000047,AL/BALL/1200/BC1,OK
48,Test_2025_01_16_7697,7697,13,Test#A8-0000048,SCRAP/SCRAP/6X6/A2,Test#B8-0000048,SCRAP/SCRAP/6X6/A2,OK
49,Test_2025_01_16_7625,7625,188,Test#A1-0000049,AL/BALL/1200/A2C1,Test#B1-0000049,AL/BALL/1200/A2C1,OK
50,Test_2025_01_16_7613,7613,201,Test#A2-0000050,AL/BALL/1000/A2C1,Test#B2-0000050,AL/BALL/1000/A2C1,OK
51,Test_2025_01_16_7694,7694,11,Test#A3-0000051,SCRAP/SCRAP/6X6/A2,Test#B3-0000051,SCRAP/SCRAP/6X6/A2,OK
52,Test_2025_01_16_7511,7511,256,Test#A4-0000052,CU/BALL/400/BC1C2,Test#B4-0000052,CU/BALL/400/BC1C2,OK
53,Test_2025_01_16_7633,7633,182,Test#A5-0000053,AL/BALL/1200/A1C1,Test#B5-0000053,AL/BALL/1200/A1C1,OK
54,Test_2025_01_16_7764,7764,94,Test#A6-0000054,CU/BALL/500/A1C1,Test#B6-0000054,CU/BALL/500/A1C1,OK
55,Test_2025_01_16_7702,7702,3,Test#A7-0000055,SCRAP/SCRAP/6X6/A1,Test#B7-0000055,SCRAP/SCRAP/6X6/A1,OK
56,Test_2025_01_16_7588,7588,185,Test#A8-0000056,SCRAP/SCRAP/7X7/A1,Test#B8-0000056,SCRAP/SCRAP/7X7/A1,OK
57,Test_2025_01_16_7782,7782,81,Test#A1-0000057,CU/BALL/400/A1C1,Test#B1-0000057,CU/BALL/400/A1C1,OK
58,Test_2025_01_16_7612,7612,202,Test#A2-0000058,AL/BALL/1000/A2C1,Test#B2-0000058,AL/BALL/1000/A2C1,OK
59,Test_2025_01_16_7712,7712,119,Test#A3-0000059,AL/BALL/1000/A1C1,Test#B3-0000059,AL/BALL/1000/A1C1,OK
60,Test_2025_01_16_7686,7686,16,Test#A4-0000060,SCRAP/SCRAP/6X6/B,Test#B4-0000060,SCRAP/SCRAP/6X6/B,OK
61,Test_2025_01_16_7589,7589,186,Test#A5-0000061,SCRAP/SCRAP/7X7/A1,Test#B5-0000061,SCRAP/SCRAP/7X7/A1,OK
62,Test_2025_01_16_7602,7602,184,Test#A6-0000062,SCRAP/SCRAP/7X7/A2,Test#B6-0000062,SCRAP/SCRAP/7X7/A2,OK
63,Test_2025_01_16_7526,7526,162,Test#A7-0000063,CU/BALL/500/BC1C2,Test#B7-0000063,CU/BALL/500/BC1C2,OK
64,Test_2025_01_16_7729,7729,45,Test#A8-0000064,SUS/BALL/500/A1C1,Test#B8-0000064,SUS/BALL/500/A1C1,OK
